name father mother gender spouse
Shan None None male Anga
Anga None None female Shan
Chit Shan Anga male Amba
Amba None None female Chit
Ish Shan Anga male None 
Vich Shan Anga male Lika 
Lika None None female Vich
Aras Shan Anga male Chitra 
Chitra None None female Aras 
Satya Shan Anga female Vyan
Vyan None None male Satya
Dritha Chit Amba female Jaya
Jaya None None male Dritha
Tritha Chit Amba female None
Vritha Chit Amba male None
Vila Vich Lika female None
Chika Vich Lika female None
Arit None None male Jnki
Jnki Aras Chitra female Arit 
Ahit Aras Chitra male None
Satvy None None female Asva
Asva Vyan Satya male Satvy
Krpi None None female Vyas
Vyas Vyan Satya male Krpi
Atya Vyan Satya female None
Yodha Jaya Dritha male None
Laki Arit Jnki male None 
Lavnya Arit Jnki female None
Vasa Asva Satvy male None 
Kriya Vyas Krpi male None
Krithi Vyas Krpi female None 
